family,n_qubits,depth_setting,PC1,PC2,PC3,UMAP1,UMAP2
brickwall,4.0,1.0,1.8639794048357898,-0.9214951218054782,-0.8602949448323861,4.9203396,10.958529
brickwall,4.0,2.0,0.8042326984479943,-0.7707721494007067,-0.31915508985251545,4.4974165,11.730182
brickwall,4.0,3.0,0.1881312457650925,-0.5355905345886026,0.11540504611280229,4.5979166,12.665858
brickwall,4.0,4.0,0.030075710308648043,-0.4671876379095543,0.20597664825518994,4.733142,13.018595
brickwall,4.0,5.0,-0.1722057257508237,-0.3249516035176568,0.4294180488456777,4.9728584,13.626847
brickwall,6.0,1.0,1.444011463053027,-0.8147829740826008,-1.249994632532988,4.515128,11.033558
brickwall,6.0,2.0,0.2851545223444294,-0.3883087477528083,-0.5218978409071996,3.7114756,11.879479
brickwall,6.0,3.0,-0.348528881431428,-0.1537418257328024,-0.17249566649848191,2.3588629,12.817329
brickwall,6.0,4.0,-0.6313098529489956,-0.04041528552003493,-0.022622656294796515,1.521485,12.587788
brickwall,6.0,5.0,-0.886889615708595,0.10619935781628494,0.11846373789579658,0.95677525,13.022769
brickwall,8.0,1.0,1.229436703838975,-0.6635636062065344,-1.5652323068515301,4.4533825,10.62526
brickwall,8.0,2.0,-0.040083743559936616,-0.11086713397811614,-0.7500619925756021,2.911779,12.070304
brickwall,8.0,3.0,-0.7186683846771263,0.0924295859599699,-0.3667145569405801,1.6258993,13.107123
brickwall,8.0,4.0,-1.011563604301736,0.20193556701487858,-0.25779153559313334,0.69133425,13.203389
brickwall,8.0,5.0,-1.280736599040634,0.3394351094126219,-0.12370004270776336,-0.0381597,13.403945
hea_line,4.0,1.0,0.9170585660917294,-0.21141573056708998,0.003511565176426436,5.4869957,12.035433
hea_line,4.0,2.0,0.0892152763722609,-0.4664906716462019,0.2307261627891214,4.9589205,12.909366
hea_line,4.0,3.0,-0.2793135690415622,-0.24521092230677302,0.5153198661587569,4.9830666,13.992412
hea_line,4.0,4.0,-0.32142338540667065,-0.21831078489812925,0.5575958025719606,4.7007213,14.1098995
hea_line,4.0,5.0,-0.3538802899935836,-0.18637024823281595,0.6460601506983561,5.0576816,14.393433
hea_line,6.0,1.0,0.05740182717788041,0.24916510772830708,-0.10608319518437685,2.5272126,13.026054
hea_line,6.0,2.0,-0.7005776745999017,0.05724911706967377,0.020177740879808524,1.2588294,12.941317
hea_line,6.0,3.0,-1.1358823238780478,0.2726593082113109,0.23561136416682882,0.06611927,13.132343
hea_line,6.0,4.0,-1.311050935487544,0.37439320886542055,0.2873637073727078,-0.3940781,13.219324
hea_line,6.0,5.0,-1.4416450076562262,0.45800270764457296,0.3084971901873949,-0.6588297,13.349897
hea_line,8.0,1.0,-0.4736278739365903,0.5258932241946468,-0.3379421389580239,1.5710249,13.4376135
hea_line,8.0,2.0,-1.1920307537286863,0.37044454461442367,-0.259962683609875,0.37574825,13.616525
hea_line,8.0,3.0,-1.6353242772061183,0.5477833135741551,-0.14205728878958346,-0.7857577,13.867626
hea_line,8.0,4.0,-1.8173744454245775,0.6496215171049676,-0.10550245284583959,-0.92303324,14.142093
hea_line,8.0,5.0,-1.9895721600372729,0.7547518831628979,-0.13001753706416136,-1.2244313,14.112192
hea_ring,4.0,1.0,0.2876160528569635,0.29014581936645223,0.6545063588543206,5.769168,13.487431
hea_ring,4.0,2.0,-0.5481600406592071,-0.055586797788714205,0.6334050041258387,4.621344,14.476653
hea_ring,4.0,3.0,-0.4382055694196935,-0.12682910717527324,0.7009812026297058,4.7362304,14.616689
hea_ring,4.0,4.0,-0.33713015262108537,-0.18861730156869527,0.7353456913838867,4.832071,14.3435955
hea_ring,4.0,5.0,-0.3379376436623316,-0.1835120075046188,0.7777895874041052,4.9521937,14.615453
hea_ring,6.0,1.0,-0.4893235176371075,0.6173449510160645,0.2760854731846441,1.0602834,13.541028
hea_ring,6.0,2.0,-1.5669844340785553,0.5676464754667302,0.07406507507718847,-0.7338021,13.678034
hea_ring,6.0,3.0,-1.6158085546623078,0.5625120514773294,0.24762189536166626,-0.459911,13.94724
hea_ring,6.0,4.0,-1.5747296266847433,0.5430258320286033,0.3119219445819764,-0.38269106,13.756377
hea_ring,6.0,5.0,-1.5490839154835252,0.530812026920327,0.35401273094485264,-0.75580305,13.551243
hea_ring,8.0,1.0,-0.9424243798359905,0.8460775775752295,-0.02255289174710701,0.6232819,13.779965
hea_ring,8.0,2.0,-2.1663772699239154,0.881684630682482,-0.5754821369520653,-1.5949672,14.314014
hea_ring,8.0,3.0,-2.400041491312075,0.9737618733902439,-0.49662082960239917,-1.6322926,14.053478
hea_ring,8.0,4.0,-2.3789411053894898,0.9687333145193443,-0.41046178805300065,-1.4079835,14.305008
hea_ring,8.0,5.0,-2.3692485971423722,0.9671665411616202,-0.3683044447580371,-1.6803163,14.486992
symmetry_xy,4.0,1.0,3.404986031696427,0.1418870211637435,0.8995381716113412,6.338397,11.651799
symmetry_xy,4.0,2.0,1.7431414745274056,-0.9313718740830489,0.5826981491690433,6.6144714,11.9929285
symmetry_xy,4.0,3.0,1.268108291955689,-1.0069348799695395,1.30292981251651,6.789579,12.465696
symmetry_xy,4.0,4.0,0.8596349655602337,-0.8387585807646266,1.2176485322293837,6.7265115,12.704779
symmetry_xy,4.0,5.0,0.838676437652347,-0.8183645057054423,1.4340010970526558,6.604489,12.702254
symmetry_xy,6.0,1.0,4.351536738990717,2.2794595444949315,0.21989723899084795,6.1510777,11.374736
symmetry_xy,6.0,2.0,1.4951176021103862,-0.24065061511794733,0.30875011363447163,6.1818385,12.047264
