family,n_qubits,depth_setting,PC1,PC2,UMAP1,UMAP2
brickwall,4.0,2.0,-0.2482836638318528,-1.9133350707764103,15.912105,-2.572731
brickwall,4.0,3.0,0.43657938798149587,-1.130996241544762,14.93421,-1.8533442
brickwall,6.0,2.0,-0.1545814453823631,0.2169415714068345,17.401855,-1.1441308
brickwall,6.0,3.0,0.39866239687185406,1.298809477104646,17.41072,-0.53170127
hea_line,4.0,1.0,-0.4268076377408098,-2.248464366472245,15.409671,-2.7245018
hea_line,4.0,2.0,0.42238095651185426,-1.247205569759635,14.471302,-2.2386763
hea_line,4.0,3.0,0.8574186361333662,-0.22706706116159725,15.469891,-1.5207369
hea_line,6.0,1.0,-0.1965008275482853,-0.10610510261257632,16.47603,-1.3900324
hea_line,6.0,2.0,0.5241845736274757,1.3409984469897211,16.75322,-0.68282074
hea_line,6.0,3.0,1.2596314045739274,2.774533081553643,16.85959,-0.020017657
hea_ring,4.0,1.0,1.259717848160289,-2.6349173128587315,14.530433,-1.0127
hea_ring,4.0,2.0,1.8212887282447516,-1.2846323961336092,14.935047,-0.590773
hea_ring,4.0,3.0,2.429744636170722,0.0483830612948918,15.3016405,-0.14700189
hea_ring,6.0,1.0,0.857428328303565,-0.4619433991050726,15.900133,-0.8540208
hea_ring,6.0,2.0,1.830742986126236,1.5025751957101718,16.025253,-0.19019604
hea_ring,6.0,3.0,2.7486274023475397,3.4626201555877008,16.139818,0.34652197
symmetry_xy,4.0,2.0,-3.7811445397933503,-0.9146188528496696,16.780603,-3.0271184
symmetry_xy,4.0,3.0,-3.448767697183372,0.062264921098297135,16.635843,-2.6045725
symmetry_xy,6.0,2.0,-3.916921605688997,1.2956570777592906,17.143333,-2.4294107
symmetry_xy,6.0,3.0,-3.506447296846378,2.613105628089028,17.585598,-2.5914211
ttn,4.0,2.0,-0.06469962484891456,-1.9221006853692566,15.434687,-2.1777697
ttn,4.0,3.0,0.5336447466584595,-1.1350804938458148,14.814053,-2.6278777
ttn,6.0,3.0,0.36410230715278713,0.6105779358951557,17.117083,-1.4394324
