family,n_qubits,depth_setting,instance,seed,effective_hilbert_dim,expressibility_kl,meyer_wallach_mean,meyer_wallach_std,gradient_variance_mean_local_z,gradient_variance_median_local_z,log10_gradient_variance_mean_local_z,mean_abs_gradient_local_z,near_zero_gradient_fraction_local_z,gradient_variance_mean_staggered_z,gradient_variance_median_staggered_z,log10_gradient_variance_mean_staggered_z,mean_abs_gradient_staggered_z,near_zero_gradient_fraction_staggered_z,parameter_count,logical_depth,compiled_depth,total_gate_count,two_qubit_gate_count,connectivity_edges,connectivity_density,mean_degree,max_degree,degree_std,n_components,largest_component_fraction,global_efficiency,avg_shortest_path,diameter,avg_shortest_path_lcc,diameter_lcc,clustering_coefficient,mean_edges_per_layer,std_edges_per_layer,edge_coverage,edge_reuse_fraction
brickwall,4,2,0,204242,16.0,0.071399713906063,0.5696581476468512,0.1703446285538157,0.028362341599973,4.9793513568085296e-33,-1.5472579165790126,0.0562474863403344,0.75,0.0069222710808767,0.0025487929802955,-2.1597513974395044,0.0445462417296337,0.3333333333333333,24.0,4.0,4.0,11.0,3.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.0
brickwall,4,2,1,204243,16.0,0.0654212802551746,0.5536892363723553,0.1888224475933959,0.0280258329253388,6.051737157236682e-33,-1.552441471346617,0.0525468583533181,0.75,0.0068142638990645,0.003310382360304,-2.166581051324611,0.044207921716873,0.3333333333333333,24.0,4.0,4.0,11.0,3.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.0
brickwall,4,2,2,204244,16.0,0.0786771414307644,0.535444459987287,0.2138344727673448,0.0298811195024691,5.773104871959403e-33,-1.5246031356171137,0.0561346412820538,0.75,0.0071572006918863,0.0030928237137062,-2.1452568047566074,0.0458553325302459,0.3333333333333333,24.0,4.0,4.0,11.0,3.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.0
brickwall,4,2,3,204245,16.0,0.0766678881429284,0.531684018213065,0.1937457927551495,0.0309216633173512,4.715835996791551e-33,-1.5097371528482035,0.0561174731834983,0.75,0.0072511809245872,0.0028869521905077,-2.1395912586336,0.0455384967245911,0.3333333333333333,24.0,4.0,4.0,11.0,3.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.0
brickwall,4,2,4,204246,16.0,0.0807754267446155,0.543235781441984,0.1917680217755808,0.0268823070078248,5.111524207696566e-33,-1.5705334633795602,0.0527518121225092,0.75,0.0069941213078719,0.0028909565549603,-2.155266839444204,0.0455416059653224,0.3333333333333333,24.0,4.0,4.0,11.0,3.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.0
brickwall,4,2,5,204247,16.0,0.0665853960780988,0.5876159826085741,0.1967867950667805,0.0268576322254931,6.5369170420402e-33,-1.5709322774725694,0.0529945965489931,0.75,0.0071792114170751,0.002714523299345,-2.143923257153438,0.0456497471499708,0.3333333333333333,24.0,4.0,4.0,11.0,3.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.0
brickwall,4,2,6,204248,16.0,0.074364369584053,0.5143721438787717,0.1987291300139612,0.0303941709587063,5.525455791038695e-33,-1.5172096980755414,0.0575760753516334,0.75,0.006072825996798,0.0032118767266174,-2.2166091624330173,0.042478744357511,0.3333333333333333,24.0,4.0,4.0,11.0,3.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.0
brickwall,4,2,7,204249,16.0,0.0750637260160972,0.5674741730320674,0.1959602615314832,0.0271988910526624,6.83692490866026e-33,-1.5654488025660709,0.0534330453825888,0.75,0.0072065450281701,0.0026637105916286,-2.1422728954502417,0.0455323780023963,0.3333333333333333,24.0,4.0,4.0,11.0,3.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.0
brickwall,4,2,8,204250,16.0,0.0683760304429047,0.5341992730796542,0.1903817403982704,0.0317595321056752,4.800675931296484e-33,-1.4981259044004882,0.058052513698083,0.75,0.0072122015666391,0.0034085884795489,-2.141932144116046,0.0462016144822741,0.3333333333333333,24.0,4.0,4.0,11.0,3.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.0
brickwall,4,2,9,204251,16.0,0.0615645164307264,0.5536314988807417,0.2096466265134385,0.0288099672472649,4.174944138015609e-33,-1.5404572354488544,0.0543289601715835,0.75,0.0070921413118054,0.003113162515101,-2.149222619612869,0.045180316614764,0.3333333333333333,24.0,4.0,4.0,11.0,3.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.0
brickwall,4,3,0,204342,16.0,0.0167910088710405,0.6659510594177447,0.1538599312318053,0.0310734851045782,4.9875626617410296e-33,-1.5076100349070525,0.0619233815543618,0.75,0.00612691015537,0.0039997156076913,-2.21275848808866,0.0470038623614762,0.2222222222222222,36.0,6.0,6.0,17.0,5.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.6666666666666667,0.4714045207910317,0.5,0.4
brickwall,4,3,1,204343,16.0,0.0173808878878992,0.6898978824739163,0.1558893409402259,0.0284245925400398,5.578056275728922e-33,-1.5463057521065635,0.0596646598641232,0.75,0.0058879618557356,0.0048934803386192,-2.230035012172118,0.0475428053353935,0.2222222222222222,36.0,6.0,6.0,17.0,5.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.6666666666666667,0.4714045207910317,0.5,0.4
brickwall,4,3,2,204344,16.0,0.0147673198940716,0.6849845710158584,0.1561164686341212,0.02922059773245,5.690097805529298e-33,-1.5343109044438303,0.0604757043359376,0.75,0.0053564765139217,0.0043834998019712,-2.2711207949607344,0.0451532449331007,0.2222222222222222,36.0,6.0,6.0,17.0,5.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.6666666666666667,0.4714045207910317,0.5,0.4
brickwall,4,3,3,204345,16.0,0.0167790616403477,0.6720607289935842,0.1752460265645558,0.0281897567346585,5.9257649641908674e-33,-1.5499086718847392,0.0575086031337112,0.75,0.0062407453038231,0.0051181964939617,-2.204763541405863,0.047774517514785,0.2222222222222222,36.0,6.0,6.0,17.0,5.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.6666666666666667,0.4714045207910317,0.5,0.4
brickwall,4,3,4,204346,16.0,0.0136992732968288,0.6666098841638332,0.1846142065350724,0.0283952035336534,5.789218124491669e-33,-1.546755013994934,0.0595924323777797,0.75,0.0061212206281416,0.0049869286283531,-2.213161966872704,0.0479554841657859,0.2222222222222222,36.0,6.0,6.0,17.0,5.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.6666666666666667,0.4714045207910317,0.5,0.4
brickwall,4,3,5,204347,16.0,0.0236667727410539,0.6767597026620575,0.1401978573670787,0.0304167945133091,5.541009270352658e-33,-1.5168865561782845,0.0611307219962252,0.75,0.0054278111811222,0.0050532612074014,-2.2653752686805047,0.0446173820320577,0.2222222222222222,36.0,6.0,6.0,17.0,5.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.6666666666666667,0.4714045207910317,0.5,0.4
brickwall,4,3,6,204348,16.0,0.0215519411614408,0.6876287998046763,0.1598706568506552,0.0264376154591034,5.214946481391554e-33,-1.577777718613572,0.0569746918227875,0.75,0.0057278714433832,0.0035816155329056,-2.242006737916645,0.0444675370848196,0.2222222222222222,36.0,6.0,6.0,17.0,5.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.6666666666666667,0.4714045207910317,0.5,0.4
brickwall,4,3,7,204349,16.0,0.0098396889977861,0.6634024815442008,0.1533852453353186,0.0275075022552699,5.59016379808136e-33,-1.56054884276194,0.0585826318866994,0.75,0.0057594986643941,0.0044239697727955,-2.2396153180981395,0.0457497260430661,0.2222222222222222,36.0,6.0,6.0,17.0,5.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.6666666666666667,0.4714045207910317,0.5,0.4
brickwall,4,3,8,204350,16.0,0.0199972891678766,0.658427781128898,0.1543516304488113,0.025928936417047,5.442429720514885e-33,-1.5862152972561363,0.0555739766218973,0.75,0.0060608604203632,0.005365683061499,-2.2174657175349526,0.0475792481742244,0.2222222222222222,36.0,6.0,6.0,17.0,5.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.6666666666666667,0.4714045207910317,0.5,0.4
brickwall,4,3,9,204351,16.0,0.0128447381713218,0.6938056053459792,0.1279831084641254,0.0283719441993845,4.722396380062863e-33,-1.5471109029727803,0.0586230314081233,0.75,0.0058484205179651,0.0048864900974003,-2.232961407926751,0.0461518279056724,0.2222222222222222,36.0,6.0,6.0,17.0,5.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.6666666666666667,0.4714045207910317,0.5,0.4
