space,k,silhouette
quantum_only,2,0.8625273837640312
quantum_only,3,0.6908283816943771
quantum_only,4,0.7065576582106892
quantum_only,5,0.6544135975868244
quantum_only,6,0.6316618234963564
quantum_only,7,0.6446604758639156
quantum_only,8,0.6539861254390018
residualized,2,0.5569587250247362
residualized,3,0.5001000639842103
residualized,4,0.388592418644657
residualized,5,0.4277358906682955
residualized,6,0.4782148059252751
residualized,7,0.4853203302326769
residualized,8,0.48556396466366863
