,PC1,PC2,PC3
resid_expressibility_kl,0.553105229982208,0.6527828531976694,-0.5176380503184046
resid_meyer_wallach_mean,-0.5126143411835575,0.756452464096139,0.40620956017285903
resid_log10_gradient_variance_mean_staggered_z,0.6567352143590874,0.04067205593512946,0.7530236663523489
