family,n_qubits,depth_setting,effective_hilbert_dim,expressibility_kl,meyer_wallach_mean,meyer_wallach_std,gradient_variance_mean_local_z,gradient_variance_median_local_z,log10_gradient_variance_mean_local_z,mean_abs_gradient_local_z,near_zero_gradient_fraction_local_z,gradient_variance_mean_staggered_z,gradient_variance_median_staggered_z,log10_gradient_variance_mean_staggered_z,mean_abs_gradient_staggered_z,near_zero_gradient_fraction_staggered_z,parameter_count,logical_depth,compiled_depth,total_gate_count,two_qubit_gate_count,connectivity_edges,connectivity_density,mean_degree,max_degree,degree_std,n_components,largest_component_fraction,global_efficiency,avg_shortest_path,diameter,avg_shortest_path_lcc,diameter_lcc,clustering_coefficient,mean_edges_per_layer,std_edges_per_layer,edge_coverage,edge_reuse_fraction,pareto_quantum
hea_line,6.0,5.0,64.0,0.00057589668533187,0.9328493696003382,0.032045995181196066,0.00970150299272261,4.224338456437577e-33,-2.0137841477928697,0.04279585496272969,0.5666666666666667,0.0011244632938710599,0.0009604180825017201,-2.9491569501675983,0.02299366282140829,0.1333333333333333,90.0,18.0,18.0,55.0,25.0,5.0,0.3333333333333333,1.6666666666666667,2.0,0.4714045207910317,1.0,1.0,0.58,2.333333333333333,5.0,2.333333333333333,5.0,0.0,5.0,0.0,0.3333333333333333,0.8,True
hea_line,8.0,1.0,256.0,0.2045842395929037,0.7703961406524135,0.11995067947442177,0.02044521654140458,6.85248810259934e-33,-1.690416108209945,0.02597927982607181,0.9583333333333334,0.00128191375750943,5.2749736420954105e-34,-2.8938189143553243,0.01022482268029852,0.6667083333333333,24.0,8.0,8.0,15.0,7.0,7.0,0.25,1.75,2.0,0.4330127018922193,1.0,1.0,0.49081632653061213,3.0,7.0,3.0,7.0,0.0,7.0,0.0,0.25,0.0,False
hea_line,8.0,2.0,256.0,0.03697780358834663,0.8383291745362899,0.0784759002567119,0.014247393480796742,4.747924352918758e-33,-1.846672213506175,0.02711690840958847,0.875,0.0007949753143408299,8.802815554633656e-05,-3.1011888759072233,0.012428576499613011,0.3333333333333333,48.0,11.0,11.0,30.0,14.0,7.0,0.25,1.75,2.0,0.4330127018922193,1.0,1.0,0.49081632653061213,3.0,7.0,3.0,7.0,0.0,7.0,0.0,0.25,0.5,False
hea_line,8.0,3.0,256.0,0.005428182171573851,0.908517303832322,0.050338911962985435,0.01182491914745057,3.5341773552703345e-33,-1.9278905871952259,0.03109776021280624,0.8055555555555556,0.00056507128027884,0.00014160851968536,-3.248238480762739,0.012439538570415461,0.22222222222222224,72.0,14.0,14.0,45.0,21.0,7.0,0.25,1.75,2.0,0.4330127018922193,1.0,1.0,0.49081632653061213,3.0,7.0,3.0,7.0,0.0,7.0,0.0,0.25,0.6666666666666667,False
hea_line,8.0,4.0,256.0,0.0006891505817224327,0.9381962089436259,0.03393777023688665,0.00909177697469641,2.8568371075317983e-33,-2.0418083034104453,0.03152706573732729,0.7395833333333334,0.00047998526474726,0.00018798508297373002,-3.3195816475236297,0.013028655940745048,0.1666666666666666,96.0,17.0,17.0,60.0,28.0,7.0,0.25,1.75,2.0,0.4330127018922193,1.0,1.0,0.49081632653061213,3.0,7.0,3.0,7.0,0.0,7.0,0.0,0.25,0.75,False
hea_line,8.0,5.0,256.0,0.00039209560465509956,0.9603476163698114,0.022129341261444148,0.0071633309430570195,2.6621255760279753e-33,-2.1451534046508933,0.0316497048136915,0.675,0.00038395768326009,0.00019565445413077,-3.4160868326666147,0.01247242822404219,0.1333333333333333,120.0,20.0,20.0,75.0,35.0,7.0,0.25,1.75,2.0,0.4330127018922193,1.0,1.0,0.49081632653061213,3.0,7.0,3.0,7.0,0.0,7.0,0.0,0.25,0.8,True
hea_ring,4.0,1.0,16.0,0.24096276579071652,0.7881160893739036,0.14937577710380806,0.03070543491834545,2.436961697102991e-33,-1.5138541384282138,0.06323637498775479,0.75,0.00795922418788653,8.219841888461306e-34,-2.1008434927713386,0.03402902963841947,0.6666666666666666,12.0,5.0,5.0,8.0,4.0,4.0,0.6666666666666666,2.0,2.0,0.0,1.0,1.0,0.8333333333333334,1.3333333333333333,2.0,1.3333333333333333,2.0,0.0,4.0,0.0,0.6666666666666666,0.0,True
hea_ring,4.0,2.0,16.0,0.0047293232630882,0.8423254921561373,0.08845548919911525,0.01576700961831973,0.01243284614177094,-1.8028424577860798,0.06448729230718128,0.4166666666666667,0.004345173172639541,0.0035586422839454595,-2.3628586795862754,0.038106071387398174,0.3333333333333333,24.0,10.0,10.0,16.0,8.0,4.0,0.6666666666666666,2.0,2.0,0.0,1.0,1.0,0.8333333333333334,1.3333333333333333,2.0,1.3333333333333333,2.0,0.0,4.0,0.0,0.6666666666666666,0.5,True
hea_ring,4.0,3.0,16.0,0.00222235890028092,0.8336556577648528,0.07538640282649654,0.021816659577805108,0.023695253249520397,-1.6617136403246284,0.09282521198940405,0.2777777777777778,0.005298740723794141,0.00586834111475215,-2.276416310088512,0.048609002568698004,0.22222222222222224,36.0,15.0,15.0,24.0,12.0,4.0,0.6666666666666666,2.0,2.0,0.0,1.0,1.0,0.8333333333333334,1.3333333333333333,2.0,1.3333333333333333,2.0,0.0,4.0,0.0,0.6666666666666666,0.6666666666666667,True
hea_ring,4.0,4.0,16.0,0.00176624980927533,0.8228722130811201,0.0752875060395505,0.02491104821712575,0.027889007882848694,-1.6036947729837212,0.10785730413331582,0.20833333333333331,0.00616631891638117,0.00692265993205837,-2.210504599423772,0.055361387216635506,0.1666666666666666,48.0,20.0,20.0,32.0,16.0,4.0,0.6666666666666666,2.0,2.0,0.0,1.0,1.0,0.8333333333333334,1.3333333333333333,2.0,1.3333333333333333,2.0,0.0,4.0,0.0,0.6666666666666666,0.75,False
