family,n_qubits,depth_setting,PC1,PC2,PC3,UMAP1,UMAP2
brickwall,4.0,1.0,1.597865091281239,-1.6686307642200937,-0.46761639130519816,2.7201357,6.0679064
brickwall,4.0,2.0,0.19138193470028228,-0.744591894069063,-0.23705271617594043,2.1278863,7.006047
brickwall,4.0,3.0,-0.4787174988193658,-0.000938935681947015,-0.17044532356640085,2.4361234,9.654952
brickwall,4.0,4.0,-0.599536837530384,0.2634822888492236,-0.4235657135242043,1.9716475,10.045185
brickwall,4.0,5.0,-0.6705968425805179,0.6377253443541314,-0.5493981022838965,1.7129999,10.280091
brickwall,6.0,1.0,0.61611856667084,-1.7024462659083015,-0.5862260565138152,2.150186,6.021652
brickwall,6.0,2.0,-0.37356144903567223,-0.4177431967790436,-0.05486947208369001,2.252354,8.361044
brickwall,6.0,3.0,-0.5363519030201377,0.13996659351799864,0.08924934828191966,2.8944836,10.687905
brickwall,6.0,4.0,-0.2792902430901902,0.40789200432510464,0.08756723860439454,3.5161355,10.03803
brickwall,6.0,5.0,0.1007239229265757,0.6127251912843814,0.0341149043428729,3.9748895,9.411407
brickwall,8.0,1.0,-0.026098666321261125,-1.6775104736196444,-0.5839911023246767,1.779176,6.152212
brickwall,8.0,2.0,-0.6219472923305103,-0.2779643857668716,0.19060362548320714,2.826193,9.721775
brickwall,8.0,3.0,-0.2751940813864009,0.1569183015633891,0.6109393877021971,3.5049741,10.542863
brickwall,8.0,4.0,0.5161752166078197,0.26745233707272964,0.758198314178473,5.526638,7.3351603
brickwall,8.0,5.0,1.4372655977269002,0.3358012403299857,0.90881848849394,5.1887436,6.7248673
hea_line,4.0,1.0,0.34842931394804255,-0.04698345488985249,0.21103653982694867,5.1483097,7.8955116
hea_line,4.0,2.0,-0.5415266115885136,-0.06269785305276863,0.22272073923146726,3.0139437,10.199396
hea_line,4.0,3.0,-0.779624080181858,0.401650035401324,0.08931369529907654,2.8301804,11.319873
hea_line,4.0,4.0,-0.54739545706139,0.37723212373456233,-0.2330524422387198,2.1388326,10.519897
hea_line,4.0,5.0,-0.28563279173080863,0.39183157507108907,-0.4859771116493198,1.8512127,9.895905
hea_line,6.0,1.0,-1.2102470857264274,0.5596401613144956,0.19419119096647033,3.0606198,12.286792
hea_line,6.0,2.0,-1.3832030661128087,0.3099250544304085,0.21121966388485314,3.329253,12.472429
hea_line,6.0,3.0,-1.0957888845500787,0.518544768162732,0.15380757865965533,3.0378675,12.06047
hea_line,6.0,4.0,-0.4316083036987859,0.4076576801190302,-0.03596645987841927,2.5791059,10.686443
hea_line,6.0,5.0,0.296023771075524,0.24159742239822737,-0.253267940400357,4.3574343,8.67001
hea_line,8.0,1.0,-2.2573618503029884,0.7814925023247989,0.16661879953105863,3.460894,13.316346
hea_line,8.0,2.0,-1.7385008054828608,0.3150110838905343,0.2823457614551477,3.392257,12.891293
hea_line,8.0,3.0,-0.836344623104409,0.1948585778734569,0.28856037131060464,2.990795,11.472988
hea_line,8.0,4.0,0.4643601302052225,-0.13783664136536705,0.2642495731225397,5.3499737,7.7290173
hea_line,8.0,5.0,1.7597289637541529,-0.5161585563789356,0.1454928416578805,4.449143,6.268436
hea_ring,4.0,1.0,-0.432308850309717,1.0945454529427143,0.7538772663717545,3.4815085,11.165062
hea_ring,4.0,2.0,-1.3104788906370666,0.6974738948136404,0.4204567239273722,3.1909528,12.507849
hea_ring,4.0,3.0,-0.7226114763482391,0.45507735449569153,0.20661882477179908,3.2466397,11.198634
hea_ring,4.0,4.0,-0.16150517001278838,0.2001125071782123,-0.06607096553328072,3.4298155,9.532347
hea_ring,4.0,5.0,0.22925635434960387,0.052833044563855076,-0.3878317460223026,4.074039,8.528611
hea_ring,6.0,1.0,-1.9245672187514546,1.320997675049879,0.42515375509644004,3.3569744,13.220647
hea_ring,6.0,2.0,-2.6469665282106902,0.9711909870173129,-0.2326915987327182,3.5655756,13.653774
hea_ring,6.0,3.0,-1.6340260853201793,0.7128354369689806,-0.16413126028510236,3.2165964,12.824513
