n_qubits,pc1_variance,pc2_variance,pc1_plus_pc2,reference_n_qubits,max_subspace_angle_deg,mean_subspace_angle_deg,abs_pc1_loading_cosine
4,0.6776020113769624,0.24849853532268706,0.9261005466996495,4,1.4580306561281588e-14,1.0562837371871617e-14,1.0000000000000002
6,0.7125580162370422,0.20522295567670873,0.9177809719137509,4,44.518367587660485,22.259183793830246,0.9859232445212149
8,0.7246593606794994,0.2101841636041293,0.9348435242836287,4,65.88737486939759,32.943687434698795,0.9052686906354043
